Event1 Event2 Station CoefMax LagSample LagTime
13 18 3 0.764817200407849 5 0.05
13 19 3 0.857771891179994 9 0.09
13 20 3 0.962131682385396 1 0.01
13 20 1 0.846423087018157 -4 -0.04
13 21 3 0.716858994126421 17 0.17
13 22 6 0.933225318585217 3 0.03
13 22 3 0.797048137840056 2 0.02
13 23 3 0.772853742019736 6 0.06
13 24 3 0.872630721216577 8 0.08
13 25 6 0.83748841769761 6 0.06
13 25 3 0.792382324668768 6 0.06
13 26 6 0.754351843564574 7 0.07
13 26 3 0.900827244292217 8 0.08
13 27 6 0.924697843263596 3 0.03
13 27 10 0.906959142715175 0 0
13 27 3 0.913920225862959 7 0.07
13 28 10 0.896663520344574 1 0.01
13 28 3 0.839674549286853 4 0.04
13 29 6 0.742216787711215 6 0.06
13 29 3 0.719271408458186 8 0.08
13 31 3 0.732225532317383 0 0
13 31 1 0.877951675243074 0 0
13 41 3 0.75567569392843 7 0.07
13 41 1 0.782863932114201 0 0
13 42 6 0.727100408251746 3 0.03
13 42 3 0.947739754064838 0 0
13 42 1 0.855165408039581 -1 -0.01
13 43 3 0.790391389055013 8 0.08
13 43 1 0.860530740350454 -1 -0.01
13 44 1 0.893156541649049 0 0
13 45 3 0.862734614541456 2 0.02
13 45 1 0.892253153610543 2 0.02
13 46 1 0.786054126220929 -3 -0.03
13 48 1 0.750248957542737 -2 -0.02
13 49 6 0.723107068869597 8 0.08
13 65 3 0.810561698892531 7 0.07
13 65 1 0.832121865840572 -5 -0.05
13 70 3 0.870401067316022 1 0.01
13 70 1 0.746767578899708 -2 -0.02
13 79 1 0.702764141525235 3 0.03
13 81 6 0.735279225638918 0 0
13 81 3 0.709283105539346 11 0.11
13 81 1 0.813128769031563 10 0.1
13 86 3 0.705445260787085 7 0.07
13 86 1 0.758769557630381 3 0.03
13 90 6 0.786279975543629 3 0.03
13 90 4 0.700881440388857 -2 -0.02
13 91 3 0.942113977079261 1 0.01
14 15 3 0.715249760036199 -15 -0.15
14 17 10 0.791796156358096 0 0
14 19 3 0.751194444967763 -1 -0.01
